TVD (ft) =	7503.00	ft
		
Time (minutes)	Pressure(psi)	Rate (gpm)
108.87	1626.50	0.00
108.92	1626.44	0.00
108.97	1626.36	0.00
109.05	1626.28	0.00
109.10	1626.22	0.00
109.16	1626.15	0.00
109.21	1626.08	0.00
109.27	1625.97	0.00
109.34	1625.90	0.00
109.40	1625.81	0.00
109.45	1625.73	0.00
109.51	1625.67	0.00
109.56	1625.60	0.00
109.61	1625.54	0.00
109.67	1625.45	0.00
109.74	1625.47	0.00
109.80	1625.47	0.00
109.86	1625.39	0.00
109.91	1625.37	0.00
109.96	1625.35	0.00
110.02	1625.25	0.00
110.07	1625.20	0.00
110.15	1625.10	0.00
110.20	1625.03	0.00
110.26	1624.98	0.00
110.31	1624.92	0.00
110.37	1624.84	0.00
110.44	1624.79	0.00
110.50	1624.72	0.00
110.55	1624.67	0.00
110.60	1624.59	0.00
110.66	1624.50	0.00
110.72	1624.46	0.00
110.77	1624.39	0.00
110.85	1624.32	0.00
110.90	1624.25	0.00
110.95	1624.17	0.00
111.01	1624.12	0.00
111.06	1624.04	0.00
111.12	1623.97	0.00
111.19	1623.90	0.00
111.25	1623.84	0.00
111.30	1623.77	0.00
111.36	1623.70	0.00
111.41	1623.64	0.00
111.47	1623.57	0.00
111.54	1623.50	0.00
111.59	1623.42	0.00
